id;subscription_name;subscription_title;subscription_type;subscription_price;subscription_quantity;subscription_period;subscription_terms;coupon_code;start_date;end_date;suspended_date;deleted_date;status;created_date;updated_date
1;card;navigate;FREE;31240;28146;Plastic;conglomeration Pants Pataca;bluetooth;2022-04-28;2022-04-29;2022-04-29T06:59:28;2022-04-29T04:04:42;DELETED;2022-04-28T17:16:32;2022-04-29T04:08:09
2;Salad;Belarus protocol;PAID;51893;88226;Argentina facilitate;Car Diverse;Devolved Maryland;2022-04-28;2022-04-28;2022-04-29T01:44:23;2022-04-28T17:39:47;ACTIVE;2022-04-28T22:07:23;2022-04-29T05:38:49
3;Handmade deposit;protocol navigate application;PAID;91700;32200;Berkshire monitoring;Human;Savings;2022-04-28;2022-04-29;2022-04-28T19:13:00;2022-04-29T06:53:09;SUSPENDED;2022-04-28T16:03:18;2022-04-29T00:08:40
4;Tactics;Arab SCSI;PAID;22375;81997;Principal up Fantastic;Chair Human;Handmade Metal;2022-04-29;2022-04-28;2022-04-28T20:05:27;2022-04-28T19:14:30;DELETED;2022-04-28T16:47:55;2022-04-29T13:13:12
5;quantify hour bypass;Corporate;PAID;32846;93902;parsing Route;Cayman Island Bike;withdrawal;2022-04-29;2022-04-28;2022-04-29T09:15:47;2022-04-28T17:18:00;ACTIVE;2022-04-28T17:35:54;2022-04-29T07:09:57
6;Island Account;blue;PROMOTION;13797;29057;Crescent mobile;infrastructures;Delaware;2022-04-29;2022-04-29;2022-04-28T19:18:20;2022-04-29T04:40:00;SUSPENDED;2022-04-29T08:33:29;2022-04-28T22:01:46
7;Chief;Chips;PAID;71162;38627;Ball;HDD;Rubber;2022-04-28;2022-04-28;2022-04-28T17:30:47;2022-04-29T09:10:26;DELETED;2022-04-28T17:21:04;2022-04-29T05:55:07
8;HDD Incredible Agent;user Intelligent;PAID;23295;70310;payment Granite Suriname;hack grid-enabled;Account Fish Glens;2022-04-28;2022-04-28;2022-04-29T10:17:51;2022-04-29T10:25:15;DELETED;2022-04-29T02:09:23;2022-04-29T12:11:21
9;compressing United;Bulgaria auxiliary;PAID;65299;39822;Applications Bike Face;of SMS;Corporate Washington Avon;2022-04-29;2022-04-28;2022-04-29T03:48:54;2022-04-29T10:34:13;SUSPENDED;2022-04-29T04:44:29;2022-04-29T00:05:43
10;Carolina;Islands open-source;FREE;94985;72844;Progressive;protocol known Specialist;Creative;2022-04-29;2022-04-28;2022-04-28T22:46:04;2022-04-29T11:34:42;SUSPENDED;2022-04-28T16:41:45;2022-04-28T20:07:01
