id;is_recurring;recurring_type;recurring_period;enable_reminder;is_auto_pay;amount_receipient_requisite;amount_patron_pledge;amount_patron_actual;status;commited_start_date;commited_end_date;actual_start_date;actual_end_date;reccuring_pause_date;recurring_resume_date;recurring_pause_reason;created_date;updated_date;deleted_date
1;true;MONTHLY;2022-04-29;true;false;97992;78760;52259;DELETED;2022-04-28;2022-04-29;2022-04-28;2022-04-28;2022-04-29;2022-04-29;Music optical Cameroon;2022-04-29T12:30:31;2022-04-29T14:17:50;2022-04-28T20:54:32
2;true;HALF_YEARLY;2022-04-28;false;true;726;18976;26422;ACTIVE;2022-04-29;2022-04-29;2022-04-29;2022-04-28;2022-04-28;2022-04-28;Sports Chips;2022-04-29T00:01:04;2022-04-28T15:30:36;2022-04-29T11:32:39
3;false;WEEKLY;2022-04-28;true;false;91154;18605;52063;SUSPENDED;2022-04-29;2022-04-28;2022-04-28;2022-04-28;2022-04-28;2022-04-29;throughput California Soft;2022-04-29T14:17:07;2022-04-29T10:24:23;2022-04-29T13:53:23
4;false;MONTHLY;2022-04-29;false;false;31831;63056;39152;INACTIVE;2022-04-28;2022-04-29;2022-04-29;2022-04-29;2022-04-29;2022-04-29;calculating monitor;2022-04-29T12:56:10;2022-04-28T23:21:27;2022-04-28T20:29:08
5;false;QUARTERLY;2022-04-29;false;false;14574;4710;55721;ACTIVE;2022-04-28;2022-04-29;2022-04-29;2022-04-29;2022-04-29;2022-04-29;Executive;2022-04-29T04:23:31;2022-04-29T14:17:59;2022-04-29T05:19:12
6;true;WEEKLY;2022-04-29;true;false;16294;64034;74683;SUSPENDED;2022-04-28;2022-04-29;2022-04-28;2022-04-28;2022-04-28;2022-04-29;Divide neural Cheese;2022-04-29T09:48:56;2022-04-28T22:09:23;2022-04-28T14:55:13
7;false;MONTHLY;2022-04-29;false;true;8265;93533;87826;ACTIVE;2022-04-28;2022-04-28;2022-04-29;2022-04-28;2022-04-29;2022-04-28;Ergonomic;2022-04-28T18:47:05;2022-04-28T23:35:16;2022-04-28T21:59:04
8;true;HALF_YEARLY;2022-04-28;true;false;69242;84137;51472;INACTIVE;2022-04-29;2022-04-29;2022-04-28;2022-04-29;2022-04-28;2022-04-28;e-business Corporate;2022-04-29T08:55:57;2022-04-29T02:31:22;2022-04-28T18:24:35
9;true;HALF_YEARLY;2022-04-29;true;true;93344;71652;40559;INACTIVE;2022-04-28;2022-04-29;2022-04-28;2022-04-28;2022-04-28;2022-04-29;COM blue;2022-04-29T11:20:02;2022-04-29T04:58:45;2022-04-29T02:21:21
10;true;YEARLY;2022-04-28;false;false;3634;63376;84568;CLOSED;2022-04-29;2022-04-29;2022-04-28;2022-04-29;2022-04-29;2022-04-29;mint frictionless;2022-04-29T14:39:57;2022-04-28T20:51:55;2022-04-29T12:11:09
