id;is_recurring;recurring_type;recurring_start_date;recurring_end_date;enable_reminder;start_date;end_date;is_auto_pay;amount_requisite;status;is_managed_by_org;approved_date_time;rejected_date_time;reject_reason;onboarded_date;reccuring_pause_date;recurring_resume_date;recurring_pause_reason;created_date;updated_date;deleted_date
1;true;MONTHLY;2022-04-28;2022-04-28;false;2022-04-29;2022-04-29;false;75208;SUSPENDED;false;2022-04-28T18:53:31;2022-04-28T15:36:10;Investor;2022-04-29;2022-04-28;2022-04-29;index;2022-04-28T18:39:23;2022-04-28T20:03:44;2022-04-29T00:01:05
2;true;YEARLY;2022-04-29;2022-04-29;false;2022-04-29;2022-04-29;false;4725;DELETED;true;2022-04-29T01:03:30;2022-04-29T04:43:57;Architect;2022-04-29;2022-04-28;2022-04-28;Carolina Frozen ivory;2022-04-29T02:24:11;2022-04-29T14:07:39;2022-04-29T02:54:31
3;false;HALF_YEARLY;2022-04-29;2022-04-28;true;2022-04-29;2022-04-28;true;71034;DELETED;false;2022-04-29T12:21:23;2022-04-29T11:55:27;Administrator Shoes Associate;2022-04-29;2022-04-28;2022-04-29;deposit;2022-04-29T10:09:59;2022-04-29T08:54:43;2022-04-28T19:16:07
4;true;ONE_TIME;2022-04-29;2022-04-29;true;2022-04-29;2022-04-29;false;78098;SUSPENDED;false;2022-04-29T13:36:54;2022-04-29T08:57:11;Metal bluetooth orchestrate;2022-04-29;2022-04-29;2022-04-28;GB De-engineered Books;2022-04-29T10:05:22;2022-04-29T03:57:08;2022-04-28T18:06:26
5;false;QUARTERLY;2022-04-28;2022-04-28;false;2022-04-29;2022-04-29;true;77306;DELETED;true;2022-04-29T08:01:26;2022-04-28T21:31:02;Somali navigating;2022-04-28;2022-04-29;2022-04-29;matrix;2022-04-29T01:38:22;2022-04-29T04:37:24;2022-04-29T00:00:31
6;false;MONTHLY;2022-04-28;2022-04-29;true;2022-04-29;2022-04-28;false;63519;INACTIVE;false;2022-04-29T02:37:46;2022-04-28T21:24:21;Fantastic Industrial;2022-04-29;2022-04-28;2022-04-29;Loti synthesize Investor;2022-04-28T20:38:25;2022-04-28T20:51:44;2022-04-28T17:53:46
7;false;ONE_TIME;2022-04-29;2022-04-28;true;2022-04-29;2022-04-29;false;67843;INACTIVE;true;2022-04-28T17:02:24;2022-04-28T18:34:37;primary;2022-04-29;2022-04-29;2022-04-28;maximized;2022-04-28T19:13:21;2022-04-29T05:27:37;2022-04-28T15:23:31
8;true;HALF_YEARLY;2022-04-29;2022-04-29;false;2022-04-29;2022-04-28;true;13965;DELETED;false;2022-04-29T03:00:19;2022-04-29T12:54:43;Bike viral reboot;2022-04-29;2022-04-29;2022-04-28;orange;2022-04-28T16:23:28;2022-04-28T15:31:19;2022-04-29T00:21:25
9;false;QUARTERLY;2022-04-29;2022-04-28;false;2022-04-29;2022-04-29;false;57093;INACTIVE;false;2022-04-28T20:29:14;2022-04-28T22:07:17;up utilize;2022-04-28;2022-04-29;2022-04-29;HDD;2022-04-29T04:33:51;2022-04-28T17:29:41;2022-04-29T05:26:18
10;true;HALF_YEARLY;2022-04-29;2022-04-28;true;2022-04-29;2022-04-28;false;36018;INACTIVE;false;2022-04-28T23:17:51;2022-04-28T16:20:31;digital Identity architecture;2022-04-29;2022-04-29;2022-04-28;Berkshire;2022-04-29T07:17:42;2022-04-28T15:58:27;2022-04-29T12:50:12
