id;recurring_period;start_date;end_date;amount_requisite;amount_patron_commited;amount_received;amount_balance;total_patrons;details_text;status;pause_date;resume_date;created_date;updated_date
1;64276;2022-04-29;2022-04-29;1826;12059;42606;50468;68568;dot-com Samoa;FULLY_FUNDED;2022-04-29;2022-04-28;2022-04-29T13:27:31;2022-04-29T01:59:23
2;60242;2022-04-29;2022-04-28;22871;84002;76768;27411;75717;plum;OVER_FUNDED;2022-04-28;2022-04-28;2022-04-28T19:20:39;2022-04-29T04:07:27
3;57550;2022-04-29;2022-04-29;33497;14217;5678;21862;512;human-resource Home;FULLY_FUNDED;2022-04-29;2022-04-29;2022-04-29T14:05:11;2022-04-29T00:13:02
4;41577;2022-04-28;2022-04-29;23970;65635;52368;52607;98473;Gloves Steel;OVER_FUNDED;2022-04-28;2022-04-28;2022-04-29T06:21:51;2022-04-28T20:24:06
5;58454;2022-04-29;2022-04-29;2803;35756;72983;79742;24346;Licensed array Soft;OVER_FUNDED;2022-04-29;2022-04-29;2022-04-29T12:23:09;2022-04-29T13:38:47
6;76792;2022-04-29;2022-04-28;99983;33760;12509;56058;6524;navigate;UNDER_FUNDED;2022-04-29;2022-04-28;2022-04-29T04:19:13;2022-04-29T00:07:45
7;50233;2022-04-28;2022-04-29;51898;19167;75628;15742;89613;Alabama Optional;FULLY_FUNDED;2022-04-29;2022-04-29;2022-04-28T22:20:42;2022-04-29T05:06:01
8;63884;2022-04-29;2022-04-29;77283;43840;39598;56820;90517;Shoes Regional;OVER_FUNDED;2022-04-29;2022-04-29;2022-04-28T15:10:33;2022-04-29T12:30:31
9;18260;2022-04-29;2022-04-29;42604;33191;63837;66953;39472;Kenya Georgia;OVER_FUNDED;2022-04-28;2022-04-29;2022-04-28T23:19:31;2022-04-28T15:26:32
10;8192;2022-04-29;2022-04-28;4981;47620;61649;88250;48558;whiteboard facilitate Israel;FULLY_FUNDED;2022-04-28;2022-04-28;2022-04-28T16:27:39;2022-04-29T04:02:56
