id;joining_date;exit_date;status;suspended_date;deleted_date;created_date;updated_date
1;2022-04-29;2022-04-28;CLOSED;2022-04-29T02:29:11;2022-04-28T16:08:47;2022-04-29T14:14:59;2022-04-29T08:45:10
2;2022-04-29;2022-04-28;ACTIVE;2022-04-28T21:25:40;2022-04-28T16:09:38;2022-04-28T22:24:48;2022-04-29T01:19:05
3;2022-04-29;2022-04-29;ACTIVE;2022-04-29T09:47:43;2022-04-29T06:20:13;2022-04-28T23:22:40;2022-04-29T05:53:00
4;2022-04-28;2022-04-29;CLOSED;2022-04-28T22:01:13;2022-04-29T08:16:47;2022-04-29T09:36:59;2022-04-29T13:53:18
5;2022-04-28;2022-04-29;SUSPENDED;2022-04-28T21:10:08;2022-04-29T13:03:59;2022-04-29T04:34:58;2022-04-29T13:13:02
6;2022-04-29;2022-04-28;ACTIVE;2022-04-29T04:59:00;2022-04-28T15:12:36;2022-04-29T09:06:55;2022-04-28T18:58:32
7;2022-04-29;2022-04-28;SUSPENDED;2022-04-29T11:22:50;2022-04-28T20:56:28;2022-04-28T17:38:16;2022-04-29T07:56:35
8;2022-04-29;2022-04-28;CLOSED;2022-04-29T14:18:09;2022-04-28T17:49:16;2022-04-29T08:00:29;2022-04-29T06:09:55
9;2022-04-28;2022-04-28;DELETED;2022-04-28T20:21:59;2022-04-28T22:11:33;2022-04-29T05:52:53;2022-04-29T09:36:45
10;2022-04-29;2022-04-29;DELETED;2022-04-29T12:37:36;2022-04-29T04:56:49;2022-04-29T05:10:10;2022-04-29T00:52:21
